person_id,full_name,professional_body,professional_designation,articles_route,articles_status,articles_employer,articles_period,evidence_url,verification_status
acc-0135,André Hugo Muller,SAICA,CA(SA),,QUALIFIED_BUT_ARTICLES_NOT_ESTABLISHED,,,https://quantumfoods.co.za/governance/,CONFIRMED
acc-0136,Kim Julies,SAICA,CA(SA),SAICA,CONFIRMED_EXPLICIT,PricewaterhouseCoopers Inc.,,https://novus.holdings/about/board-members/,CONFIRMED
acc-0137,Craig Wright,SAICA,CA(SA),,QUALIFIED_BUT_ARTICLES_NOT_ESTABLISHED,,,https://novus.holdings/wp-content/uploads/2024/06/IAR24-Annual-Financial-Statements-v_Final.pdf,CONFIRMED
acc-0138,Keshree Alwar,SAICA,CA(SA),,QUALIFIED_BUT_ARTICLES_NOT_ESTABLISHED,,,https://novus.holdings/about/board-members/,CONFIRMED
acc-0139,Yolanda Louw,SAICA,CA(SA),,QUALIFIED_BUT_ARTICLES_NOT_ESTABLISHED,,,https://theorg.com/org/food-lovers-market-holdings/org-chart/yolanda-louw,CONFIRMED
acc-0140,JP du Toit,SAICA,CA(SA),,QUALIFIED_BUT_ARTICLES_NOT_ESTABLISHED,,,https://za.linkedin.com/in/jp-du-toit-ca-sa-012989a4/,CONFIRMED
acc-0141,MC Stoman,SAICA,CA(SA),,NOT_ESTABLISHED,,,https://theorg.com/org/food-lovers-market-holdings,HIGH_CONFIDENCE
acc-0142,Andisa Zinja,SAICA,CA(SA),,QUALIFIED_BUT_ARTICLES_NOT_ESTABLISHED,,,https://www.tcta.co.za/wp-content/uploads/2026/01/TCTA-CFO-Wins-Award.pdf,CONFIRMED
acc-0144,Wayne de Wet,SAICA,CA(SA),,QUALIFIED_BUT_ARTICLES_NOT_ESTABLISHED,,,https://cfo.co.za/articles/cticc-appoints-wayne-de-wet-as-new-cfo/,CONFIRMED
acc-0146,Fritz Grobbelaar,SAICA,CA(SA),,QUALIFIED_BUT_ARTICLES_NOT_ESTABLISHED,,,https://za.linkedin.com/in/fritzgrobbelaar/,CONFIRMED
acc-0147,Saleh Coovadia,SAICA,CA(SA),,QUALIFIED_BUT_ARTICLES_NOT_ESTABLISHED,,,https://rocketreach.co/saleh-coovadia-email_240579142,CONFIRMED
acc-0150,Andre Tancred,CIMA,ACMA,,NOT_ESTABLISHED,,,https://rocketreach.co/rms-shopfitting-management_b44d3107fd2e4825,CONFIRMED
acc-0150,Andre Tancred,CIMA,CGMA,,NOT_ESTABLISHED,,,https://rocketreach.co/rms-shopfitting-management_b44d3107fd2e4825,CONFIRMED
acc-0151,Waheeda Saib,SAICA,CA(SA),SAICA,QUALIFIED_BUT_ARTICLES_NOT_ESTABLISHED,Big Four (per annual report); Auditor-General of South Africa,,https://provincialgovernment.co.za/units/management/254/western-cape/atlantis-special-economic-zone-company-asezco,CONFIRMED
acc-0156,Lebogang Dire,SAICA,CA(SA),,NOT_ESTABLISHED,,,https://nationalgovernment.co.za/units/management/122/national-agricultural-marketing-council-namc,HIGH_CONFIDENCE
acc-0157,Willie van Wyk,SAICA,CA(SA),SAICA,QUALIFIED_BUT_ARTICLES_NOT_ESTABLISHED,Deloitte & Touche,1996,http://workforce.co.za/directors/,CONFIRMED
acc-0158,Donovan Humphreys,SAICA,CA(SA),,QUALIFIED_BUT_ARTICLES_NOT_ESTABLISHED,,,https://za.linkedin.com/in/donovan-humphreys-a13b52a9/,CONFIRMED
